,Title,URL,LCCN,Date,Description
0,Volunteer civilian defense,https://www.loc.gov/item/98518971/,98518971,1941,"1 print on board (poster) : silkscreen, color. | Poster encouraging voluntary participation in civilian defense, showing airplane flying over outline of Alabama."
1,"""Ah, Wilderness!"" Federal Theatre Playhouse, Tulane & Miro Streets",https://www.loc.gov/item/98516945/,98516945,1936,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Ah, Wilderness!"" at the WPA Federal Theatre Playhouse, Tulane & Miro Streets, Los Angeles, Calif., showing a couple in Victorian dress."
2,"""The alarm clock"" by Avery Hopwood",https://www.loc.gov/item/98507320/,98507320,1936,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""The Alarm Clock"" at the Mason Opera House, showing foot wrapped in bandages."
3,"""Alien corn"" by Sidney Howard",https://www.loc.gov/item/92500652/,92500652,1938,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alien Corn"" at the Mayan Theatre, showing a ship on the horizon and stalks of corn."
4,"""Alien corn"" by Sidney Howard",https://www.loc.gov/item/98517009/,98517009,1938,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alien Corn"" at the Mayan Theatre, showing a ship on the horizon and stalks of corn."
5,"""Alien corn"" by Sidney Howard",https://www.loc.gov/item/98519427/,98519427,1938,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alien Corn"" at the Mayan Theatre, showing a ship on the horizon and stalks of corn."
6,"""Alison's house"" by Susan Glaspell A poetic romance.",https://www.loc.gov/item/98516951/,98516951,1938,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alison's House"" at the Mayan Theatre, showing quill pen in ink well."
7,"""Alison's house"" by Susan Glaspell a poetic romance.",https://www.loc.gov/item/98507340/,98507340,1936,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alison's House"" at the Mayan Theatre, showing a quill pen in a bottle of ink."
8,"""Alison's house"" by Susan Glaspell A poetic romance.",https://www.loc.gov/item/98517008/,98517008,1938,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alison's House"" at the Mayan Theatre, showing quill pen in ink well."
9,"""Alison's house"" by Susan Glaspell A poetic romance.",https://www.loc.gov/item/98519423/,98519423,1938,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""Alison's House"" at the Mayan Theatre, showing quill pen in ink well."
10,"""The amazing Dr. Clitterhouse"" by Barre Lyndon",https://www.loc.gov/item/98507342/,98507342,1936,"1 print (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""The Amazing Dr. Clitterhouse"" at the Hollywood Playhouse, showing light from a suspended lamp."
